vrsta;naziv;sifra;marka;jedinica_mjere;cijena_za_jedinicu_mjere;maloprodajna_cijena;posebni_oblik_prodaje;naziv_posebnog_oblika_prodaje;sidrena_cijena;datum_sidrene_cijene;barkod;dostupnost
proizvod;ESSENTIAL PAKET;Essential paket;MARRUBI;kom;;81,00;NE;;81,00;06.02.2026;;dostupno
proizvod;FULL PAKET;Full paket;MARRUBI;kom;;129,00;NE;;129,00;06.02.2026;;dostupno
proizvod;GLOW PAKET;Glow paket;MARRUBI;kom;;35,00;NE;;35,00;06.02.2026;;dostupno
proizvod;PLUMP & PREP PAKET;Plump & Prep paket;MARRUBI;kom;;55,00;NE;;55,00;06.02.2026;;dostupno
proizvod;MARRUBI - Termo Boca 350ml;Boca Purple;MARRUBI;kom;;20,00;NE;;20,00;06.02.2026;;dostupno
proizvod;PLUMP IT UP;SKU PIU;MARRUBI;kom;;38,00;NE;;38,00;22.11.2025;;dostupno
proizvod;FACE TOWELS;SKU FT;MARRUBI;kom;;13,50;NE;;12,50;02.05.2025;;dostupno
proizvod;FACE BRUSH;SKU FB;MARRUBI;kom;;10,00;NE;;9,00;02.05.2025;;dostupno
proizvod;GUA SHA SCULPT;SKU GSS;MARRUBI;kom;;16,00;NE;;16,00;02.05.2025;;dostupno
proizvod;RECOVERY OIL;SKU RO;MARRUBI;kom;;54,00;NE;;42,00;02.05.2025;;dostupno
usluga;Express dostava 1-3 radna dana;DOSTAVA-EXPRESS;MARRUBI;pošiljka;;4,50;NE;;4,50;10.09.2026;;dostupno
usluga;Standardna dostava 3-5 radnih dana;DOSTAVA-STANDARD;MARRUBI;pošiljka;;4,00;NE;;4,00;10.09.2026;;dostupno
usluga;Standardna dostava 3-5 radnih dana, plaćanje pouzećem;DOSTAVA-POUZECE;MARRUBI;pošiljka;;4,95;NE;;4,95;10.09.2026;;dostupno
usluga;HP dostava, plaćanje karticom;DOSTAVA-HP;MARRUBI;pošiljka;;3,00;NE;;3,00;10.09.2026;;dostupno
usluga;GLS besplatna dostava;DOSTAVA-GLS-BESPLATNA;MARRUBI;pošiljka;;0,00;NE;;0,00;10.09.2026;;dostupno
